Date,"Spot exchange rate, US $ into Sterling  "
05-Oct-23,1.216
04-Oct-23,1.2115
03-Oct-23,1.208
02-Oct-23,1.2122
29-Sep-23,1.2207
28-Sep-23,1.2198
27-Sep-23,1.213
26-Sep-23,1.2168
25-Sep-23,1.2198
22-Sep-23,1.2265
21-Sep-23,1.2288
20-Sep-23,1.2398
19-Sep-23,1.2402
18-Sep-23,1.238
15-Sep-23,1.2395
14-Sep-23,1.2415
13-Sep-23,1.249
12-Sep-23,1.2466
11-Sep-23,1.2529
08-Sep-23,1.2485
07-Sep-23,1.2476
06-Sep-23,1.2491
05-Sep-23,1.2554
04-Sep-23,1.2618
01-Sep-23,1.2619
31-Aug-23,1.2673
30-Aug-23,1.2727
29-Aug-23,1.2589
25-Aug-23,1.2554
24-Aug-23,1.2648
23-Aug-23,1.2683
22-Aug-23,1.2732
21-Aug-23,1.2727
18-Aug-23,1.2716
17-Aug-23,1.2757
16-Aug-23,1.2753
15-Aug-23,1.2745
14-Aug-23,1.2661
11-Aug-23,1.2713
10-Aug-23,1.2735
09-Aug-23,1.2732
08-Aug-23,1.2722
07-Aug-23,1.2772
04-Aug-23,1.2757
03-Aug-23,1.2697
02-Aug-23,1.2689
01-Aug-23,1.2762
31-Jul-23,1.2863
28-Jul-23,1.2864
27-Jul-23,1.2849
26-Jul-23,1.2923
25-Jul-23,1.2856
24-Jul-23,1.2817
21-Jul-23,1.2845
20-Jul-23,1.2851
19-Jul-23,1.2885
18-Jul-23,1.3081
17-Jul-23,1.3082
14-Jul-23,1.3116
13-Jul-23,1.3114
12-Jul-23,1.2997
11-Jul-23,1.2897
10-Jul-23,1.2815
07-Jul-23,1.2825
06-Jul-23,1.2696
05-Jul-23,1.2716
04-Jul-23,1.2726
03-Jul-23,1.2689
30-Jun-23,1.2714
29-Jun-23,1.2618
28-Jun-23,1.2614
27-Jun-23,1.2746
26-Jun-23,1.2709
23-Jun-23,1.2711
22-Jun-23,1.2738
21-Jun-23,1.2731
20-Jun-23,1.2735
19-Jun-23,1.2796
16-Jun-23,1.2812
15-Jun-23,1.2743
14-Jun-23,1.2696
13-Jun-23,1.2604
12-Jun-23,1.251
09-Jun-23,1.258
08-Jun-23,1.2535
07-Jun-23,1.2462
06-Jun-23,1.2408
05-Jun-23,1.241
02-Jun-23,1.2485
01-Jun-23,1.2524
31-May-23,1.2394
30-May-23,1.2411
26-May-23,1.2332
25-May-23,1.2357
24-May-23,1.2367
23-May-23,1.242
22-May-23,1.2423
19-May-23,1.2436
18-May-23,1.2409
17-May-23,1.2466
16-May-23,1.2494
15-May-23,1.251
12-May-23,1.2477
11-May-23,1.2523
10-May-23,1.2618
09-May-23,1.2612
05-May-23,1.2627
04-May-23,1.2572
03-May-23,1.2533
02-May-23,1.2472
28-Apr-23,1.2566
27-Apr-23,1.2494
26-Apr-23,1.2472
25-Apr-23,1.2402
24-Apr-23,1.2456
21-Apr-23,1.2398
20-Apr-23,1.2458
19-Apr-23,1.245
18-Apr-23,1.2428
17-Apr-23,1.2365
14-Apr-23,1.2444
13-Apr-23,1.251
12-Apr-23,1.2466
11-Apr-23,1.2431
06-Apr-23,1.2434
05-Apr-23,1.245
04-Apr-23,1.2516
03-Apr-23,1.2397
31-Mar-23,1.2364
30-Mar-23,1.238
29-Mar-23,1.2311
28-Mar-23,1.2327
27-Mar-23,1.2274
24-Mar-23,1.2224
23-Mar-23,1.2316
22-Mar-23,1.2232
21-Mar-23,1.2196
20-Mar-23,1.2255
17-Mar-23,1.214
16-Mar-23,1.2109
15-Mar-23,1.2028
14-Mar-23,1.2146
13-Mar-23,1.2159
10-Mar-23,1.2102
09-Mar-23,1.1892
08-Mar-23,1.1837
07-Mar-23,1.1872
06-Mar-23,1.2002
03-Mar-23,1.1977
02-Mar-23,1.1954
01-Mar-23,1.2007
28-Feb-23,1.2107
27-Feb-23,1.2031
24-Feb-23,1.1941
23-Feb-23,1.2023
22-Feb-23,1.2067
21-Feb-23,1.2139
20-Feb-23,1.2028
17-Feb-23,1.1998
16-Feb-23,1.2011
15-Feb-23,1.2003
14-Feb-23,1.2156
13-Feb-23,1.2137
10-Feb-23,1.2074
09-Feb-23,1.2169
08-Feb-23,1.2077
07-Feb-23,1.2015
06-Feb-23,1.2013
03-Feb-23,1.2105
02-Feb-23,1.2298
01-Feb-23,1.2326
31-Jan-23,1.2307
30-Jan-23,1.2379
27-Jan-23,1.2358
26-Jan-23,1.2356
25-Jan-23,1.2358
24-Jan-23,1.2315
23-Jan-23,1.2368
20-Jan-23,1.2369
19-Jan-23,1.2359
18-Jan-23,1.2394
17-Jan-23,1.228
16-Jan-23,1.2206
13-Jan-23,1.2215
12-Jan-23,1.2177
11-Jan-23,1.213
10-Jan-23,1.2148
09-Jan-23,1.2193
06-Jan-23,1.2047
05-Jan-23,1.1879
04-Jan-23,1.2041
03-Jan-23,1.2008
30-Dec-22,1.2039
29-Dec-22,1.2055
28-Dec-22,1.2037
23-Dec-22,1.207
22-Dec-22,1.203
21-Dec-22,1.2109
20-Dec-22,1.2139
